Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction
18.197.242.41,10.20.73.129,443,63917,6,0.00,0,151,1,151,158334976.00,151.00,1048576.00,0.00,ACK,->
10.20.73.129,18.197.242.41,63917,443,6,0.00,0,66,1,66,55364812.80,66.00,838860.80,0.00,ACK,->
10.20.73.129,172.16.0.100,52282,53,17,0.00,0,108,1,108,113246208.00,108.00,1048576.00,0.00,,->
10.20.73.129,10.64.76.10,63719,53,17,0.00,0,108,1,108,150994944.00,108.00,1398101.33,0.00,,->
10.20.73.129,172.16.0.101,58394,53,17,0.00,0,108,1,108,0.00,108.00,0.00,0.00,,->
10.20.73.129,172.18.2.20,59395,53,17,0.00,0,108,1,108,113246208.00,108.00,1048576.00,0.00,,->
10.20.73.129,172.18.3.20,54795,53,17,0.00,0,108,1,108,113246208.00,108.00,1048576.00,0.00,,->
172.16.0.100,10.20.73.129,53,52282,17,0.00,0,124,1,124,0.00,124.00,0.00,0.00,,->
10.20.73.129,10.64.77.10,51614,53,17,0.00,0,108,1,108,150994944.00,108.00,1398101.33,0.00,,->
10.20.73.129,20.31.196.184,61288,443,6,0.56,5026,78,14,5104,9095.47,364.57,24.95,64.44,"FIN, ACK, SYN",->
20.31.196.184,10.20.73.129,443,61288,6,0.56,7788,74,18,7862,14092.36,436.78,32.26,105.24,"FIN, ACK, SYN",->
172.16.0.101,10.20.73.129,53,58394,17,0.00,0,124,1,124,130023424.00,124.00,1048576.00,0.00,,->
10.20.73.129,172.16.0.101,,,1,0.00,0,70,1,70,0.00,70.00,0.00,0.00,,->
208.111.40.216,10.20.73.129,443,57366,6,0.00,0,93,1,93,78014054.40,93.00,838860.80,0.00,ACK,->
10.20.73.129,208.111.40.216,57366,443,6,0.00,0,66,1,66,0.00,66.00,0.00,0.00,ACK,->
199.232.193.91,10.20.73.129,443,61085,6,6.86,282,94,4,376,54.81,94.00,0.58,3.00,ACK,->
10.20.73.129,199.232.193.91,61085,443,6,6.86,230,66,4,296,43.15,74.00,0.58,3.48,ACK,->
10.20.73.129,142.250.72.138,61252,443,6,0.01,66,105,2,171,15408.31,85.50,180.21,0.63,ACK,->
142.250.72.138,10.20.73.129,443,61252,6,0.00,0,105,1,105,110100480.00,105.00,1048576.00,0.00,ACK,->
10.20.73.129,54.86.191.201,61291,443,6,0.29,2770,78,12,2848,9713.61,237.33,40.93,35.51,"FIN, ACK, SYN",->
54.86.191.201,10.20.73.129,443,61291,6,0.28,2772,74,12,2846,10106.00,237.17,42.61,37.46,"FIN, ACK, SYN",->
10.20.73.129,54.86.191.201,61292,443,6,0.26,4298,78,13,4376,16522.95,336.62,49.09,55.10,"FIN, ACK, SYN",->
10.20.73.129,54.86.191.201,61293,443,6,0.25,2871,78,12,2949,11632.41,245.75,47.33,36.81,"FIN, ACK, SYN",->
54.86.191.201,10.20.73.129,443,61292,6,0.26,2100,74,11,2174,8425.08,197.64,42.63,28.38,"FIN, ACK, SYN",->
54.86.191.201,10.20.73.129,443,61293,6,0.24,1459,74,11,1533,6288.87,139.36,45.13,19.72,"FIN, ACK, SYN",->
10.20.73.129,10.20.0.1,56888,5351,17,0.00,54,44,2,98,141640.87,49.00,2890.63,1.23,,->
10.20.73.129,10.20.0.1,55812,5351,17,0.00,66,44,2,110,88999.51,55.00,1618.17,1.50,,->
10.20.73.129,10.20.0.1,55812,1900,17,0.00,0,136,1,136,142606336.00,136.00,1048576.00,0.00,,->
10.20.73.129,239.255.255.250,55812,1900,17,0.00,179,136,2,315,292431.55,157.50,1856.71,1.32,,->
10.20.73.129,192.73.242.204,41641,3478,17,0.00,0,82,1,82,85983232.00,82.00,1048576.00,0.00,,->
10.20.73.129,208.111.40.216,41641,3478,17,0.00,0,82,1,82,68786585.60,82.00,838860.80,0.00,,->
10.20.73.129,208.111.34.178,41641,3478,17,0.00,0,82,1,82,68786585.60,82.00,838860.80,0.00,,->
10.20.73.129,192.73.244.245,41641,3478,17,0.00,0,82,1,82,68786585.60,82.00,838860.80,0.00,,->
208.111.40.216,10.20.73.129,3478,41641,17,0.00,0,74,1,74,62075699.20,74.00,838860.80,0.00,,->
192.73.244.245,10.20.73.129,3478,41641,17,0.00,0,74,1,74,62075699.20,74.00,838860.80,0.00,,->
208.111.34.178,10.20.73.129,3478,41641,17,0.00,0,74,1,74,62075699.20,74.00,838860.80,0.00,,->
192.73.242.204,10.20.73.129,3478,41641,17,0.00,0,74,1,74,62075699.20,74.00,838860.80,0.00,,->
10.20.73.129,18.208.6.180,57345,8884,6,0.08,66,97,2,163,1988.21,81.50,24.40,0.68,ACK,->
18.208.6.180,10.20.73.129,8884,57345,6,0.00,0,97,1,97,0.00,97.00,0.00,0.00,ACK,->
10.20.73.129,54.161.152.147,63547,443,6,0.12,66,622,2,688,5842.39,344.00,16.98,0.11,ACK,->
54.161.152.147,10.20.73.129,443,63547,6,0.11,163,66,2,229,2051.55,114.50,17.92,2.47,ACK,->
10.20.73.129,64.31.35.242,57353,443,6,0.00,0,54,1,54,56623104.00,54.00,1048576.00,0.00,ACK,->
64.31.35.242,10.20.73.129,443,57353,6,0.00,0,66,1,66,92274688.00,66.00,1398101.33,0.00,ACK,->
