Src IP,Dst IP,Src Port,Dst Port,Protocol,Duration (s),Out Bytes,In Bytes,Total Packets,Total Bytes,Bytes/sec,Bytes/pkt,Pkts/sec,Ratio Out/In,State Flags,Direction
172.16.0.101,10.20.73.129,53,61116,17,0.00,0,135,1,135,0.00,135.00,0.00,0.00,,->
172.16.0.100,10.20.73.129,53,52602,17,0.00,0,195,1,195,163577856.00,195.00,838860.80,0.00,,->
172.16.0.100,10.20.73.129,53,52222,17,0.00,0,207,1,207,173644185.60,207.00,838860.80,0.00,,->
10.20.73.129,34.107.221.82,65035,80,6,70.89,900,78,11,978,13.80,88.91,0.16,11.54,"ACK, SYN",->
172.16.0.101,10.20.73.129,53,56623,17,0.00,0,207,1,207,173644185.60,207.00,838860.80,0.00,,->
34.107.221.82,10.20.73.129,80,65035,6,70.89,810,74,10,884,12.47,88.40,0.14,10.95,"ACK, SYN",->
172.16.0.101,10.20.73.129,53,61513,17,0.00,0,195,1,195,204472320.00,195.00,1048576.00,0.00,,->
10.20.73.129,64.31.35.242,57353,443,6,66.31,1151,54,15,1205,18.17,80.33,0.23,21.31,ACK,->
64.31.35.242,10.20.73.129,443,57353,6,66.30,1174,66,15,1240,18.70,82.67,0.23,17.79,ACK,->
10.20.73.129,10.64.76.10,64696,53,17,0.00,0,108,1,108,0.00,108.00,0.00,0.00,,->
10.20.73.129,172.16.0.100,57062,53,17,0.00,0,108,1,108,90596966.40,108.00,838860.80,0.00,,->
10.20.73.129,172.16.0.101,54328,53,17,0.00,0,108,1,108,0.00,108.00,0.00,0.00,,->
10.20.73.129,172.18.3.20,64087,53,17,0.00,0,108,1,108,0.00,108.00,0.00,0.00,,->
10.20.73.129,10.64.77.10,52596,53,17,0.00,0,108,1,108,113246208.00,108.00,1048576.00,0.00,,->
10.20.73.129,172.18.2.20,62703,53,17,0.00,0,108,1,108,0.00,108.00,0.00,0.00,,->
172.16.0.101,10.20.73.129,53,54328,17,0.00,0,124,1,124,130023424.00,124.00,1048576.00,0.00,,->
10.20.73.129,20.103.246.163,65037,443,6,0.49,5092,78,15,5170,10613.88,344.67,30.79,65.28,"FIN, ACK, SYN",->
20.103.246.163,10.20.73.129,443,65037,6,0.48,7761,74,18,7835,16290.64,435.28,37.43,104.88,"FIN, ACK, SYN",->
172.16.0.100,10.20.73.129,53,57062,17,0.00,0,124,1,124,130023424.00,124.00,1048576.00,0.00,,->
10.20.73.129,172.16.0.100,,,1,44.49,420,70,7,490,11.01,70.00,0.16,6.00,,->
10.20.73.129,172.64.41.4,57370,443,6,64.49,42502,122,294,42624,660.91,144.98,4.56,348.38,ACK,->
172.64.41.4,10.20.73.129,443,57370,6,64.49,82544,66,305,82610,1281.00,270.85,4.73,1250.67,ACK,->
10.20.73.129,142.250.68.14,65039,443,6,74.50,146158,78,868,146236,1963.03,168.47,11.65,1873.82,"ACK, SYN",->
142.250.68.14,10.20.73.129,443,65039,6,74.52,3765964,74,3003,3766038,50534.54,1254.09,40.30,50891.41,"ACK, SYN",->
10.20.73.129,172.217.12.150,65040,443,6,47.30,37844,78,411,37922,801.74,92.27,8.69,485.18,"ACK, SYN",->
172.217.12.150,10.20.73.129,443,65040,6,47.34,1449936,74,1258,1450010,30632.81,1152.63,26.58,19593.73,"ACK, SYN",->
10.20.73.129,142.250.68.106,65041,443,6,59.84,4385,78,25,4463,74.59,178.52,0.42,56.22,"ACK, SYN",->
142.250.68.106,10.20.73.129,443,65041,6,59.83,25152,74,39,25226,421.62,646.82,0.65,339.89,"ACK, SYN",->
